Name,Quantity,Single Unit Price,Total Price,URL/LCSC,,
Electronics,,,,,,
C - LEDs,,,PCBA,C49678,,
D - Rows/Cols,,,PCBA,C241939,,
SK6812MINI,,,PCBA,C5149201,,
schottky diode,,,PCBA,C85098,,
IRLZ44N,N/A,$3.74,$3.74,C38774,DIGIKEY,https://www.digikey.ca/short/74vzwbdb
5v 8A PSU,,,$11.48,https://www.aliexpress.com/item/4000521124523.html,,
IRF9540N,N/A,$4.86,$4.86,C42370423,DIGIKEY,
SSD1306,,,$3.10,https://www.aliexpress.com/item/1005005301005280.html,,
Barrel Jack,,$1.84,$1.84,https://www.aliexpress.com/item/4001206395694.html,DIGIKEY,
DigiKey Shipping,,,$8,,,
Keys,,,,,,
Outemu Silent Grays,1,$22.38,$22.38,https://www.aliexpress.com/item/1005007052759423.html,,
Key Caps - Printed,,,$0.00,,,
JLC,,,,,,
PCBA,1,$60.37,$60.37,,,
PCB,1,$21.70,$21.70,,,
Shipping,1,$36.65,$36.65,,,
,,Tax - If applicable,$2.40,,,
,,,176.5172,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,CAD,,
,,,,,,
,,,129.1920561,USD,,